         0          0
     0.125 7.8906585e-20
      0.25 2.440186117e-24
     0.375 8.070425635e-27
       0.5 1.649787584e-28
     0.625 8.856678422e-30
      0.75 8.622050755e-31
     0.875 1.25487344e-31
         1 2.438532145e-32
     1.125 5.88884964e-33
      1.25 1.683948537e-33
     1.375 5.511276156e-34
       1.5 2.013817382e-34
     1.625 8.063666833e-35
      1.75 3.487828437e-35
     1.875 1.611352077e-35
         2 7.879965463e-36
     2.125 4.049307978e-36
      2.25 2.173446889e-36
     2.375 1.212432651e-36
       2.5 6.99974357e-37
     2.625 4.167498489e-37
      2.75 2.551025508e-37
     2.875 1.601255808e-37
         3 1.028312174e-37
     3.125 6.742876437e-38
      3.25 4.50676126e-38
     3.375 3.065599e-38
       3.5 2.119364744e-38
     3.625 1.487334375e-38
      3.75 1.058407398e-38
     3.875 7.629841636e-39
         4 5.566928099e-39
     4.125 4.107795363e-39
      4.25 3.063253188e-39
     4.375 2.307034016e-39
       4.5 1.753732015e-39
     4.625 1.344850159e-39
      4.75 1.039846085e-39
     4.875 8.103066641e-40
         5 6.361088472e-40
     5.125 5.028585181e-40
      5.25 4.001621315e-40
     5.375 3.204475483e-40
       5.5 2.581511942e-40
     5.625 2.091522055e-40
      5.75 1.703748177e-40
     5.875 1.395064787e-40
         6 1.147963044e-40
     6.125 9.49098079e-41
      6.25 7.882337922e-41
     6.375 6.574707011e-41
       6.5 5.506769115e-41
     6.625 4.630659303e-41
      6.75 3.908813899e-41
     6.875 3.311601404e-41
         7 2.815531636e-41
     7.125 2.401894169e-41
      7.25 2.055717428e-41
     7.375 1.764968692e-41
       7.5 1.519936082e-41
     7.625 1.312748794e-41
      7.75 1.13700286e-41
     7.875 9.874678958e-42
         8 8.598562848e-42
     8.125 7.506407247e-42
      8.25 6.569094088e-42
     8.375 5.762506171e-42
       8.5 5.066603879e-42
     8.625 4.464683774e-42
      8.75 3.942781069e-42
     8.875 3.489186382e-42
         9 3.094053548e-42
     9.125 2.749080311e-42
      9.25 2.447247489e-42
     9.375 2.182605257e-42
       9.5 1.950097499e-42
     9.625 1.745417024e-42
      9.75 1.564885883e-42
     9.875 1.405356159e-42
        10 1.264127503e-42
    10.125 1.138878416e-42
     10.25 1.027608829e-42
    10.375 9.285920115e-43
      10.5 8.403341968e-43
    10.625 7.615405943e-43
     10.75 6.910867252e-43
    10.875 6.279941864e-43
        11 5.714101151e-43
    11.125 5.205897521e-43
     11.25 4.748816052e-43
    11.375 4.337147989e-43
      11.5 3.965882676e-43
    11.625 3.630615047e-43
     11.75 3.327466293e-43
    11.875 3.053015697e-43
        12 2.804241965e-43
    12.125 2.578472634e-43
     12.25 2.373340371e-43
    12.375 2.186745168e-43
      12.5 2.016821571e-43
    12.625 1.861910234e-43
     12.75 1.72053319e-43
    12.875 1.591372309e-43
        13 1.473250524e-43
    13.125 1.365115415e-43
     13.25 1.266024871e-43
    13.375 1.17513451e-43
      13.5 1.09168666e-43
    13.625 1.01500067e-43
     13.75 9.444643942e-44
    13.875 8.795266861e-44
        14 8.196907855e-44
    14.125 7.645084743e-44
     14.25 7.135749119e-44
    14.375 6.665240632e-44
      14.5 6.230246468e-44
    14.625 5.827765396e-44
     14.75 5.455075836e-44
    14.875 5.109707455e-44
        15 4.789415881e-44
    15.125 4.492160169e-44
     15.25 4.216082692e-44
    15.375 3.959491179e-44
      15.5 3.720842656e-44
    15.625 3.498729079e-44
     15.75 3.29186445e-44
    15.875 3.099073272e-44
        16 2.919280186e-44
    16.125 2.75150065e-44
     16.25 2.594832566e-44
    16.375 2.44844874e-44
      16.5 2.311590083e-44
    16.625 2.183559489e-44
     16.75 2.063716296e-44
    16.875 1.9514713e-44
        17 1.846282229e-44
    17.125 1.747649657e-44
     17.25 1.655113305e-44
    17.375 1.568248679e-44
      17.5 1.486664033e-44
    17.625 1.409997599e-44
     17.75 1.33791508e-44
    17.875 1.270107363e-44
        18 1.206288449e-44
    18.125 1.146193553e-44
     18.25 1.089577386e-44
    18.375 1.036212582e-44
      18.5 9.858882607e-45
    18.625 9.384087217e-45
     18.75 8.935922454e-45
    18.875 8.512699986e-45
        19 8.112850329e-45
    19.125 7.73491368e-45
     19.25 7.377531512e-45
    19.375 7.039438867e-45
      19.5 6.719457293e-45
    19.625 6.416488353e-45
     19.75 6.129507663e-45
    19.875 5.85755942e-45
        20 5.599751361e-45
    20.125 5.355250125e-45
     20.25 5.12327699e-45
    20.375 4.903103937e-45
      20.5 4.694050026e-45
    20.625 4.495478053e-45
     20.75 4.306791469e-45
    20.875 4.127431522e-45
        21 3.956874636e-45
    21.125 3.794629973e-45
     21.25 3.640237182e-45
    21.375 3.493264323e-45
      21.5 3.353305937e-45
    21.625 3.21998126e-45
     21.75 3.092932573e-45
    21.875 2.971823666e-45
        22 2.856338414e-45
    22.125 2.746179464e-45
     22.25 2.641066999e-45
    22.375 2.540737611e-45
      22.5 2.444943233e-45
    22.625 2.353450162e-45
     22.75 2.26603814e-45
    22.875 2.182499504e-45
        23 2.102638395e-45
    23.125 2.026270016e-45
     23.25 1.953219946e-45
    23.375 1.883323496e-45
      23.5 1.816425116e-45
    23.625 1.75237783e-45
     23.75 1.691042721e-45
    23.875 1.632288441e-45
        24 1.575990756e-45
    24.125 1.522032123e-45
     24.25 1.470301293e-45
    24.375 1.420692939e-45
      24.5 1.373107306e-45
    24.625 1.327449891e-45
     24.75 1.283631132e-45
    24.875 1.24156613e-45
        25 1.201174375e-45
    25.125 1.162379499e-45
     25.25 1.125109039e-45
    25.375 1.089294219e-45
